"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"d:\Projects\Thesis\README.md", "Markdown", 0, 1, 0, 1, 2
"d:\Projects\Thesis\src\app\application.cpp", "C++", 67, 0, 5, 17, 89
"d:\Projects\Thesis\src\app\application.h", "C++", 72, 0, 5, 11, 88
"d:\Projects\Thesis\src\main.cpp", "C++", 13, 0, 0, 0, 13
"d:\Projects\Thesis\src\memory_mger.h", "C++", 27, 0, 5, 9, 41
"d:\Projects\Thesis\src\pch.h", "C++", 3, 0, 0, 1, 4
"d:\Projects\Thesis\src\sdl\sdl_base.cpp", "C++", 112, 0, 0, 15, 127
"d:\Projects\Thesis\src\sdl\sdl_base.h", "C++", 21, 0, 0, 4, 25
"d:\Projects\Thesis\src\thesis.h", "C++", 6, 0, 0, 3, 9
"d:\Projects\Thesis\src\vk\vulkan_base.h", "C++", 88, 0, 4, 14, 106
"d:\Projects\Thesis\src\vk\vulkan_device.cpp", "C++", 277, 0, 1, 52, 330
"d:\Projects\Thesis\src\vk\vulkan_instance.cpp", "C++", 194, 0, 19, 17, 230
"d:\Projects\Thesis\tests\test1\Test.cpp", "C++", 5, 0, 0, 1, 6
"Total", "-", 885, 1, 39, 145, 1070
